"product_code" "station_number" "year" "month" "day" "min_temperature" "accum_days_min" "quality"
"102" "IDCJAC0011" 86338 2013 4 12 NA NA ""
"103" "IDCJAC0011" 86338 2013 4 13 NA NA ""
"104" "IDCJAC0011" 86338 2013 4 14 NA NA ""
"105" "IDCJAC0011" 86338 2013 4 15 NA NA ""
"106" "IDCJAC0011" 86338 2013 4 16 NA NA ""
"107" "IDCJAC0011" 86338 2013 4 17 NA NA ""
"108" "IDCJAC0011" 86338 2013 4 18 NA NA ""
"109" "IDCJAC0011" 86338 2013 4 19 NA NA ""
"110" "IDCJAC0011" 86338 2013 4 20 NA NA ""
"111" "IDCJAC0011" 86338 2013 4 21 NA NA ""
"112" "IDCJAC0011" 86338 2013 4 22 NA NA ""
"113" "IDCJAC0011" 86338 2013 4 23 NA NA ""
"114" "IDCJAC0011" 86338 2013 4 24 NA NA ""
"115" "IDCJAC0011" 86338 2013 4 25 NA NA ""
"116" "IDCJAC0011" 86338 2013 4 26 NA NA ""
"117" "IDCJAC0011" 86338 2013 4 27 NA NA ""
"118" "IDCJAC0011" 86338 2013 4 28 NA NA ""
"119" "IDCJAC0011" 86338 2013 4 29 NA NA ""
"120" "IDCJAC0011" 86338 2013 4 30 NA NA ""
"121" "IDCJAC0011" 86338 2013 5 1 NA NA ""
"122" "IDCJAC0011" 86338 2013 5 2 NA NA ""
"123" "IDCJAC0011" 86338 2013 5 3 NA NA ""
"124" "IDCJAC0011" 86338 2013 5 4 NA NA ""
"125" "IDCJAC0011" 86338 2013 5 5 NA NA ""
"126" "IDCJAC0011" 86338 2013 5 6 NA NA ""
"127" "IDCJAC0011" 86338 2013 5 7 NA NA ""
"128" "IDCJAC0011" 86338 2013 5 8 NA NA ""
"129" "IDCJAC0011" 86338 2013 5 9 NA NA ""
"130" "IDCJAC0011" 86338 2013 5 10 NA NA ""
"131" "IDCJAC0011" 86338 2013 5 11 NA NA ""
"132" "IDCJAC0011" 86338 2013 5 12 NA NA ""
"133" "IDCJAC0011" 86338 2013 5 13 NA NA ""
"134" "IDCJAC0011" 86338 2013 5 14 NA NA ""
"135" "IDCJAC0011" 86338 2013 5 15 NA NA ""
"136" "IDCJAC0011" 86338 2013 5 16 NA NA ""
"137" "IDCJAC0011" 86338 2013 5 17 NA NA ""
"138" "IDCJAC0011" 86338 2013 5 18 NA NA ""
"139" "IDCJAC0011" 86338 2013 5 19 NA NA ""
"140" "IDCJAC0011" 86338 2013 5 20 NA NA ""
"141" "IDCJAC0011" 86338 2013 5 21 NA NA ""
"142" "IDCJAC0011" 86338 2013 5 22 NA NA ""
"143" "IDCJAC0011" 86338 2013 5 23 NA NA ""
"144" "IDCJAC0011" 86338 2013 5 24 NA NA ""
"145" "IDCJAC0011" 86338 2013 5 25 NA NA ""
"146" "IDCJAC0011" 86338 2013 5 26 NA NA ""
"147" "IDCJAC0011" 86338 2013 5 27 NA NA ""
"148" "IDCJAC0011" 86338 2013 5 28 NA NA ""
"149" "IDCJAC0011" 86338 2013 5 29 NA NA ""
"150" "IDCJAC0011" 86338 2013 5 30 NA NA ""
"151" "IDCJAC0011" 86338 2013 5 31 NA NA ""
"152" "IDCJAC0011" 86338 2013 6 1 NA NA ""
"153" "IDCJAC0011" 86338 2013 6 2 10.4 1 "Y"
"154" "IDCJAC0011" 86338 2013 6 3 10.7 1 "Y"
"155" "IDCJAC0011" 86338 2013 6 4 11.1 1 "Y"
"156" "IDCJAC0011" 86338 2013 6 5 11.9 1 "Y"
"157" "IDCJAC0011" 86338 2013 6 6 12.6 1 "Y"
"158" "IDCJAC0011" 86338 2013 6 7 10.9 1 "Y"
"159" "IDCJAC0011" 86338 2013 6 8 5 1 "Y"
"160" "IDCJAC0011" 86338 2013 6 9 5.3 1 "Y"
"161" "IDCJAC0011" 86338 2013 6 10 6.5 1 "Y"
"162" "IDCJAC0011" 86338 2013 6 11 10.2 1 "Y"
"163" "IDCJAC0011" 86338 2013 6 12 8.7 1 "Y"
"164" "IDCJAC0011" 86338 2013 6 13 10.8 1 "Y"
"165" "IDCJAC0011" 86338 2013 6 14 11.3 1 "Y"
"166" "IDCJAC0011" 86338 2013 6 15 8.2 1 "Y"
"167" "IDCJAC0011" 86338 2013 6 16 7 1 "Y"
"168" "IDCJAC0011" 86338 2013 6 17 6 1 "Y"
"169" "IDCJAC0011" 86338 2013 6 18 7.9 1 "Y"
"170" "IDCJAC0011" 86338 2013 6 19 3.7 1 "Y"
"171" "IDCJAC0011" 86338 2013 6 20 2.4 1 "Y"
"172" "IDCJAC0011" 86338 2013 6 21 2.9 1 "Y"
"173" "IDCJAC0011" 86338 2013 6 22 2.4 1 "Y"
"174" "IDCJAC0011" 86338 2013 6 23 1.3 1 "Y"
"175" "IDCJAC0011" 86338 2013 6 24 1.8 1 "Y"
"176" "IDCJAC0011" 86338 2013 6 25 3.5 1 "Y"
"177" "IDCJAC0011" 86338 2013 6 26 2.8 1 "Y"
"178" "IDCJAC0011" 86338 2013 6 27 4.6 1 "Y"
"179" "IDCJAC0011" 86338 2013 6 28 7 1 "Y"
"180" "IDCJAC0011" 86338 2013 6 29 6.6 1 "Y"
"181" "IDCJAC0011" 86338 2013 6 30 5.2 1 "Y"
"182" "IDCJAC0011" 86338 2013 7 1 7.9 1 "Y"
"183" "IDCJAC0011" 86338 2013 7 2 12.3 1 "Y"
"184" "IDCJAC0011" 86338 2013 7 3 9.5 1 "Y"
"185" "IDCJAC0011" 86338 2013 7 4 9.6 1 "Y"
"186" "IDCJAC0011" 86338 2013 7 5 9 1 "Y"
"187" "IDCJAC0011" 86338 2013 7 6 9.8 1 "Y"
"188" "IDCJAC0011" 86338 2013 7 7 6.5 1 "Y"
"189" "IDCJAC0011" 86338 2013 7 8 4.3 1 "Y"
"190" "IDCJAC0011" 86338 2013 7 9 3 1 "Y"
"191" "IDCJAC0011" 86338 2013 7 10 3 1 "Y"
"192" "IDCJAC0011" 86338 2013 7 11 4 1 "Y"
"193" "IDCJAC0011" 86338 2013 7 12 4.9 1 "Y"
"194" "IDCJAC0011" 86338 2013 7 13 7.9 1 "Y"
"195" "IDCJAC0011" 86338 2013 7 14 11 1 "Y"
"196" "IDCJAC0011" 86338 2013 7 15 12.3 1 "Y"
"197" "IDCJAC0011" 86338 2013 7 16 9.8 1 "Y"
"198" "IDCJAC0011" 86338 2013 7 17 10 1 "Y"
"199" "IDCJAC0011" 86338 2013 7 18 11 1 "Y"
"200" "IDCJAC0011" 86338 2013 7 19 14.3 1 "Y"
"201" "IDCJAC0011" 86338 2013 7 20 7.8 1 "Y"
"202" "IDCJAC0011" 86338 2013 7 21 5.5 1 "Y"
"203" "IDCJAC0011" 86338 2013 7 22 6.2 1 "Y"
"204" "IDCJAC0011" 86338 2013 7 23 8.3 1 "Y"
"205" "IDCJAC0011" 86338 2013 7 24 10.3 1 "Y"
"206" "IDCJAC0011" 86338 2013 7 25 3.8 1 "Y"
"207" "IDCJAC0011" 86338 2013 7 26 7.1 1 "Y"
"208" "IDCJAC0011" 86338 2013 7 27 8.8 1 "Y"
"209" "IDCJAC0011" 86338 2013 7 28 10.7 1 "Y"
"210" "IDCJAC0011" 86338 2013 7 29 12 1 "Y"
"211" "IDCJAC0011" 86338 2013 7 30 10.1 1 "Y"
"212" "IDCJAC0011" 86338 2013 7 31 3.3 1 "Y"
"213" "IDCJAC0011" 86338 2013 8 1 5.7 1 "Y"
"214" "IDCJAC0011" 86338 2013 8 2 7.6 1 "Y"
"215" "IDCJAC0011" 86338 2013 8 3 7.1 1 "Y"
"216" "IDCJAC0011" 86338 2013 8 4 7.7 1 "Y"
"217" "IDCJAC0011" 86338 2013 8 5 9.6 1 "Y"
"218" "IDCJAC0011" 86338 2013 8 6 11.2 1 "Y"
"219" "IDCJAC0011" 86338 2013 8 7 6.7 1 "Y"
"220" "IDCJAC0011" 86338 2013 8 8 6.5 1 "Y"
"221" "IDCJAC0011" 86338 2013 8 9 8 1 "Y"
"222" "IDCJAC0011" 86338 2013 8 10 9.1 1 "Y"
"223" "IDCJAC0011" 86338 2013 8 11 8.3 1 "Y"
"224" "IDCJAC0011" 86338 2013 8 12 10.9 1 "Y"
"225" "IDCJAC0011" 86338 2013 8 13 7.9 1 "Y"
"226" "IDCJAC0011" 86338 2013 8 14 11.2 1 "Y"
"227" "IDCJAC0011" 86338 2013 8 15 7.5 1 "Y"
"228" "IDCJAC0011" 86338 2013 8 16 10 1 "Y"
"229" "IDCJAC0011" 86338 2013 8 17 9.1 1 "Y"
"230" "IDCJAC0011" 86338 2013 8 18 10 1 "Y"
"231" "IDCJAC0011" 86338 2013 8 19 7.3 1 "Y"
"232" "IDCJAC0011" 86338 2013 8 20 5.5 1 "Y"
"233" "IDCJAC0011" 86338 2013 8 21 7.2 1 "Y"
"234" "IDCJAC0011" 86338 2013 8 22 9.5 1 "Y"
"235" "IDCJAC0011" 86338 2013 8 23 11.3 1 "Y"
"236" "IDCJAC0011" 86338 2013 8 24 10.6 1 "Y"
"237" "IDCJAC0011" 86338 2013 8 25 11.4 1 "Y"
"238" "IDCJAC0011" 86338 2013 8 26 10.5 1 "Y"
"239" "IDCJAC0011" 86338 2013 8 27 8.7 1 "Y"
"240" "IDCJAC0011" 86338 2013 8 28 10.9 1 "Y"
"241" "IDCJAC0011" 86338 2013 8 29 12.4 1 "Y"
"242" "IDCJAC0011" 86338 2013 8 30 14.7 1 "Y"
"243" "IDCJAC0011" 86338 2013 8 31 10.4 1 "Y"
"244" "IDCJAC0011" 86338 2013 9 1 13.7 1 "Y"
"245" "IDCJAC0011" 86338 2013 9 2 13 1 "Y"
"246" "IDCJAC0011" 86338 2013 9 3 10.3 1 "Y"
"247" "IDCJAC0011" 86338 2013 9 4 12.6 1 "Y"
"248" "IDCJAC0011" 86338 2013 9 5 19.6 1 "Y"
"249" "IDCJAC0011" 86338 2013 9 6 10.9 1 "Y"
"250" "IDCJAC0011" 86338 2013 9 7 9.8 1 "Y"
"251" "IDCJAC0011" 86338 2013 9 8 8.9 1 "Y"
"252" "IDCJAC0011" 86338 2013 9 9 11.6 1 "Y"
"253" "IDCJAC0011" 86338 2013 9 10 11.7 1 "Y"
"254" "IDCJAC0011" 86338 2013 9 11 11 1 "Y"
"255" "IDCJAC0011" 86338 2013 9 12 8.2 1 "Y"
"256" "IDCJAC0011" 86338 2013 9 13 3.6 1 "Y"
"257" "IDCJAC0011" 86338 2013 9 14 7.9 1 "Y"
"258" "IDCJAC0011" 86338 2013 9 15 10.1 1 "Y"
"259" "IDCJAC0011" 86338 2013 9 16 12.8 1 "Y"
"260" "IDCJAC0011" 86338 2013 9 17 11.4 1 "Y"
"261" "IDCJAC0011" 86338 2013 9 18 12.7 1 "Y"
"262" "IDCJAC0011" 86338 2013 9 19 10.4 1 "Y"
"263" "IDCJAC0011" 86338 2013 9 20 10.3 1 "Y"
"264" "IDCJAC0011" 86338 2013 9 21 6.5 1 "Y"
"265" "IDCJAC0011" 86338 2013 9 22 11.8 1 "Y"
"266" "IDCJAC0011" 86338 2013 9 23 9.6 1 "Y"
"267" "IDCJAC0011" 86338 2013 9 24 13.4 1 "Y"
"268" "IDCJAC0011" 86338 2013 9 25 16.3 1 "Y"
"269" "IDCJAC0011" 86338 2013 9 26 12.1 1 "Y"
"270" "IDCJAC0011" 86338 2013 9 27 7 1 "Y"
"271" "IDCJAC0011" 86338 2013 9 28 8.3 1 "Y"
"272" "IDCJAC0011" 86338 2013 9 29 6.4 1 "Y"
"273" "IDCJAC0011" 86338 2013 9 30 14.8 1 "Y"
"274" "IDCJAC0011" 86338 2013 10 1 11.3 1 "Y"
"275" "IDCJAC0011" 86338 2013 10 2 9.9 1 "Y"
"276" "IDCJAC0011" 86338 2013 10 3 8.4 1 "Y"
"277" "IDCJAC0011" 86338 2013 10 4 5.8 1 "Y"
"278" "IDCJAC0011" 86338 2013 10 5 12.7 1 "Y"
"279" "IDCJAC0011" 86338 2013 10 6 13.2 1 "Y"
"280" "IDCJAC0011" 86338 2013 10 7 8.9 1 "Y"
"281" "IDCJAC0011" 86338 2013 10 8 10.6 1 "Y"
"282" "IDCJAC0011" 86338 2013 10 9 12.3 1 "Y"
"283" "IDCJAC0011" 86338 2013 10 10 15.4 1 "Y"
"284" "IDCJAC0011" 86338 2013 10 11 10.2 1 "Y"
"285" "IDCJAC0011" 86338 2013 10 12 10.7 1 "Y"
"286" "IDCJAC0011" 86338 2013 10 13 11.1 1 "Y"
"287" "IDCJAC0011" 86338 2013 10 14 7.7 1 "Y"
"288" "IDCJAC0011" 86338 2013 10 15 9.5 1 "Y"
"289" "IDCJAC0011" 86338 2013 10 16 12.5 1 "Y"
"290" "IDCJAC0011" 86338 2013 10 17 11 1 "Y"
"291" "IDCJAC0011" 86338 2013 10 18 7.2 1 "Y"
"292" "IDCJAC0011" 86338 2013 10 19 12.4 1 "Y"
"293" "IDCJAC0011" 86338 2013 10 20 16.4 1 "Y"
"294" "IDCJAC0011" 86338 2013 10 21 14.5 1 "Y"
"295" "IDCJAC0011" 86338 2013 10 22 12.2 1 "Y"
"296" "IDCJAC0011" 86338 2013 10 23 12.9 1 "Y"
"297" "IDCJAC0011" 86338 2013 10 24 7.2 1 "Y"
"298" "IDCJAC0011" 86338 2013 10 25 7.9 1 "Y"
"299" "IDCJAC0011" 86338 2013 10 26 9.7 1 "Y"
"300" "IDCJAC0011" 86338 2013 10 27 10.2 1 "Y"
"301" "IDCJAC0011" 86338 2013 10 28 11.3 1 "Y"
"302" "IDCJAC0011" 86338 2013 10 29 11.8 1 "Y"
"303" "IDCJAC0011" 86338 2013 10 30 11.8 1 "Y"
"304" "IDCJAC0011" 86338 2013 10 31 12 1 "Y"
"305" "IDCJAC0011" 86338 2013 11 1 8.5 1 "Y"
"306" "IDCJAC0011" 86338 2013 11 2 12.2 1 "Y"
"307" "IDCJAC0011" 86338 2013 11 3 13.4 1 "Y"
"308" "IDCJAC0011" 86338 2013 11 4 9.9 1 "Y"
"309" "IDCJAC0011" 86338 2013 11 5 8.4 1 "Y"
"310" "IDCJAC0011" 86338 2013 11 6 11.1 1 "Y"
"311" "IDCJAC0011" 86338 2013 11 7 17.7 1 "Y"
"312" "IDCJAC0011" 86338 2013 11 8 14.4 1 "Y"
"313" "IDCJAC0011" 86338 2013 11 9 10.3 1 "Y"
"314" "IDCJAC0011" 86338 2013 11 10 9.3 1 "Y"
"315" "IDCJAC0011" 86338 2013 11 11 9.7 1 "Y"
"316" "IDCJAC0011" 86338 2013 11 12 12.6 1 "Y"
"317" "IDCJAC0011" 86338 2013 11 13 10.3 1 "Y"
"318" "IDCJAC0011" 86338 2013 11 14 11.1 1 "Y"
"319" "IDCJAC0011" 86338 2013 11 15 11.5 1 "Y"
"320" "IDCJAC0011" 86338 2013 11 16 9.4 1 "Y"
"321" "IDCJAC0011" 86338 2013 11 17 8.5 1 "Y"
"322" "IDCJAC0011" 86338 2013 11 18 10.3 1 "Y"
"323" "IDCJAC0011" 86338 2013 11 19 15 1 "Y"
"324" "IDCJAC0011" 86338 2013 11 20 14.1 1 "Y"
"325" "IDCJAC0011" 86338 2013 11 21 12.1 1 "Y"
"326" "IDCJAC0011" 86338 2013 11 22 12.9 1 "Y"
"327" "IDCJAC0011" 86338 2013 11 23 13.1 1 "Y"
"328" "IDCJAC0011" 86338 2013 11 24 11.7 1 "Y"
"329" "IDCJAC0011" 86338 2013 11 25 12.9 1 "Y"
"330" "IDCJAC0011" 86338 2013 11 26 10.1 1 "Y"
"331" "IDCJAC0011" 86338 2013 11 27 15 1 "Y"
"332" "IDCJAC0011" 86338 2013 11 28 20.9 1 "Y"
"333" "IDCJAC0011" 86338 2013 11 29 12 1 "Y"
"334" "IDCJAC0011" 86338 2013 11 30 12.1 1 "Y"
"335" "IDCJAC0011" 86338 2013 12 1 9.9 1 "Y"
"336" "IDCJAC0011" 86338 2013 12 2 16.4 1 "Y"
"337" "IDCJAC0011" 86338 2013 12 3 16.3 1 "Y"
"338" "IDCJAC0011" 86338 2013 12 4 17.1 1 "Y"
"339" "IDCJAC0011" 86338 2013 12 5 10.6 1 "Y"
"340" "IDCJAC0011" 86338 2013 12 6 8.2 1 "Y"
"341" "IDCJAC0011" 86338 2013 12 7 10.7 1 "Y"
"342" "IDCJAC0011" 86338 2013 12 8 14.6 1 "Y"
"343" "IDCJAC0011" 86338 2013 12 9 15.8 1 "Y"
"344" "IDCJAC0011" 86338 2013 12 10 12.8 1 "Y"
"345" "IDCJAC0011" 86338 2013 12 11 13.2 1 "Y"
"346" "IDCJAC0011" 86338 2013 12 12 10.6 1 "Y"
"347" "IDCJAC0011" 86338 2013 12 13 14.2 1 "Y"
"348" "IDCJAC0011" 86338 2013 12 14 14.3 1 "Y"
"349" "IDCJAC0011" 86338 2013 12 15 13.7 1 "Y"
"350" "IDCJAC0011" 86338 2013 12 16 14.6 1 "Y"
"351" "IDCJAC0011" 86338 2013 12 17 14 1 "Y"
"352" "IDCJAC0011" 86338 2013 12 18 13.8 1 "Y"
"353" "IDCJAC0011" 86338 2013 12 19 15.6 1 "Y"
"354" "IDCJAC0011" 86338 2013 12 20 19.2 1 "Y"
"355" "IDCJAC0011" 86338 2013 12 21 14.9 1 "Y"
"356" "IDCJAC0011" 86338 2013 12 22 16 1 "Y"
"357" "IDCJAC0011" 86338 2013 12 23 14.3 1 "Y"
"358" "IDCJAC0011" 86338 2013 12 24 13.3 1 "Y"
"359" "IDCJAC0011" 86338 2013 12 25 11.7 1 "Y"
"360" "IDCJAC0011" 86338 2013 12 26 16.2 1 "Y"
"361" "IDCJAC0011" 86338 2013 12 27 16.4 1 "Y"
"362" "IDCJAC0011" 86338 2013 12 28 14 1 "Y"
"363" "IDCJAC0011" 86338 2013 12 29 13.7 1 "Y"
"364" "IDCJAC0011" 86338 2013 12 30 11.7 1 "Y"
"365" "IDCJAC0011" 86338 2013 12 31 12.3 1 "Y"
"366" "IDCJAC0011" 86338 2014 1 1 15.5 1 "Y"
"367" "IDCJAC0011" 86338 2014 1 2 15 1 "Y"
"368" "IDCJAC0011" 86338 2014 1 3 13.3 1 "Y"
"369" "IDCJAC0011" 86338 2014 1 4 13.4 1 "Y"
"370" "IDCJAC0011" 86338 2014 1 5 10.3 1 "Y"
"371" "IDCJAC0011" 86338 2014 1 6 12.4 1 "Y"
"372" "IDCJAC0011" 86338 2014 1 7 14 1 "Y"
"373" "IDCJAC0011" 86338 2014 1 8 11.7 1 "Y"
"374" "IDCJAC0011" 86338 2014 1 9 13.4 1 "Y"
"375" "IDCJAC0011" 86338 2014 1 10 18.7 1 "Y"
"376" "IDCJAC0011" 86338 2014 1 11 17.3 1 "Y"
"377" "IDCJAC0011" 86338 2014 1 12 16.5 1 "Y"
"378" "IDCJAC0011" 86338 2014 1 13 13.5 1 "Y"
"379" "IDCJAC0011" 86338 2014 1 14 18.2 1 "Y"
"380" "IDCJAC0011" 86338 2014 1 15 26.6 1 "Y"
"381" "IDCJAC0011" 86338 2014 1 16 24.7 1 "Y"
"382" "IDCJAC0011" 86338 2014 1 17 24.4 1 "Y"
"383" "IDCJAC0011" 86338 2014 1 18 21.3 1 "Y"
"384" "IDCJAC0011" 86338 2014 1 19 16 1 "Y"
"385" "IDCJAC0011" 86338 2014 1 20 16.6 1 "Y"
"386" "IDCJAC0011" 86338 2014 1 21 16.7 1 "Y"
"387" "IDCJAC0011" 86338 2014 1 22 16 1 "Y"
"388" "IDCJAC0011" 86338 2014 1 23 12.1 1 "Y"
"389" "IDCJAC0011" 86338 2014 1 24 16.9 1 "Y"
"390" "IDCJAC0011" 86338 2014 1 25 15.1 1 "Y"
"391" "IDCJAC0011" 86338 2014 1 26 11.8 1 "Y"
"392" "IDCJAC0011" 86338 2014 1 27 16.8 1 "Y"
"393" "IDCJAC0011" 86338 2014 1 28 23 1 "Y"
"394" "IDCJAC0011" 86338 2014 1 29 17.9 1 "Y"
"395" "IDCJAC0011" 86338 2014 1 30 15 1 "Y"
"396" "IDCJAC0011" 86338 2014 1 31 18.4 1 "Y"
"397" "IDCJAC0011" 86338 2014 2 1 18.1 1 "Y"
"398" "IDCJAC0011" 86338 2014 2 2 18.1 1 "Y"
"399" "IDCJAC0011" 86338 2014 2 3 21.8 1 "Y"
"400" "IDCJAC0011" 86338 2014 2 4 14.2 1 "Y"
"401" "IDCJAC0011" 86338 2014 2 5 13.1 1 "Y"
"402" "IDCJAC0011" 86338 2014 2 6 16.2 1 "Y"
"403" "IDCJAC0011" 86338 2014 2 7 22.4 1 "Y"
"404" "IDCJAC0011" 86338 2014 2 8 17.9 1 "Y"
"405" "IDCJAC0011" 86338 2014 2 9 21.6 1 "Y"
"406" "IDCJAC0011" 86338 2014 2 10 15.3 1 "Y"
"407" "IDCJAC0011" 86338 2014 2 11 14.2 1 "Y"
"408" "IDCJAC0011" 86338 2014 2 12 16.2 1 "Y"
"409" "IDCJAC0011" 86338 2014 2 13 19 1 "Y"
"410" "IDCJAC0011" 86338 2014 2 14 18.9 1 "Y"
"411" "IDCJAC0011" 86338 2014 2 15 20.3 1 "Y"
"412" "IDCJAC0011" 86338 2014 2 16 16.7 1 "Y"
"413" "IDCJAC0011" 86338 2014 2 17 16.1 1 "Y"
"414" "IDCJAC0011" 86338 2014 2 18 14.5 1 "Y"
"415" "IDCJAC0011" 86338 2014 2 19 17.2 1 "Y"
"416" "IDCJAC0011" 86338 2014 2 20 12.7 1 "Y"
"417" "IDCJAC0011" 86338 2014 2 21 13.2 1 "Y"
